token,triplet,source_outgoing_count,source_weight,policy_tvd,policy_js_bits,policy_kl_bits,classical_sequence_js_bits,ideal_sequence_js_bits,noisy_sequence_js_bits
150,"(12, 1, 0)",3,0.0006207324643078833,0.9641391699359902,0.8845873706635435,4.833469575265297,0.8845873706635435,0.9987453314470459,0.9982974251787772
151,"(12, 1, 29)",3,0.0006207324643078833,0.9311348337807146,0.8123143203629164,3.8654924957798724,0.8123143203629164,0.8123143203629164,0.8123143203629164
152,"(12, 2, 0)",33,0.006828057107386716,0.16679826553788973,0.08558864486877735,0.2562788211435667,0.9383001497537599,0.9383001497537599,0.9383001497537599
153,"(12, 3, 0)",1,0.0002069108214359611,0.9907489159611809,0.959789684450751,6.901581044510223,0.959789684450751,0.959789684450751,0.959789684450751
154,"(12, 4, 0)",4,0.0008276432857438444,0.9835292174272146,0.9365791904334375,5.995715741716117,0.9986140582507782,0.9365791904334375,0.9365791904334375
155,"(14, 2, 0)",14,0.0028967515001034555,0.17050567829857508,0.08757221437840358,0.2623180005877306,0.0,0.9800348512796199,0.9800348512796199
156,"(14, 10, 0)",1,0.0002069108214359611,0.9983811686970886,0.9905517449486707,10.634671972843137,0.9905517449486707,0.9905517449486707,0.998981976596096
157,"(15, 2, 0)",15,0.0031036623215394167,0.17047036960561618,0.08755277401531192,0.2622581066230328,0.0,0.9791701534049101,0.9989492522861136
158,"(16, 2, 0)",1,0.0002069108214359611,0.9977623373941771,0.9874272634998877,9.635684401441326,0.9989607153655036,0.9989269439755576,0.9874272634998877
159,"(17, 2, 0)",2,0.0004138216428719222,0.9977623373941771,0.9874272634998877,9.635684401441326,0.9874272634998877,0.9874272634998877,0.9874272634998877
160,"(18, 2, 0)",1,0.0002069108214359611,0.9987937228990295,0.992883911250562,12.218040726586342,0.992883911250562,0.992883911250562,0.9989349676764923
161,"(19, 1, 1)",2,0.0004138216428719222,0.9890986991534172,0.9541861492983502,6.6388373395924845,0.9989122798697465,0.9541861492983502,0.9989161305250999
162,"(19, 2, 0)",1,0.0002069108214359611,0.9983811686970886,0.9905517449486707,10.634671972843137,0.9905517449486707,0.9905517449486707,0.9989466935827251
163,"(23, 1, 1)",1,0.0002069108214359611,0.9740404707825729,0.9097154237341183,5.306509457894202,0.9097154237341183,0.9097154237341183,0.9097154237341183
164,"(24, 1, 0)",2,0.0004138216428719222,0.9866233739417718,0.9478447740374587,6.638874664698984,0.998452898333967,0.9478447740374587,0.9989019742644001
165,"(26, 1, 1)",1,0.0002069108214359611,0.9890986991534172,0.9541861492983502,6.6388373395924845,0.9541861492983502,0.9984899379156746,0.9984899379156746
166,"(29, 1, 0)",1,0.0002069108214359611,0.9740404707825729,0.9097154237341183,5.306509457894202,0.9097154237341183,0.9097154237341183,0.9097154237341183
167,"(31, 1, 1)",1,0.0002069108214359611,0.9930179640718562,0.9678945898352266,7.365025349231651,0.9678945898352266,0.9678945898352266,0.9678945898352266
168,"(36, 1, 1)",1,0.0002069108214359611,0.99033636175924,0.9583683294357499,6.831269063883638,0.9583683294357499,0.9583683294357499,0.9583683294357499
